ingredient,amount,name
Яйцо куриное,1 штука,polskoe testo dlya pirogov
Молоко,150 мл,polskoe testo dlya pirogov
Сухие дрожжи,10 г,polskoe testo dlya pirogov
Сливочное масло,70 г,polskoe testo dlya pirogov
Пшеничная мука,150 г,polskoe testo dlya pirogov
Сахар,4 столовые ложки,polskoe testo dlya pirogov
Соль,½ чайной ложки,polskoe testo dlya pirogov
Молоко,½ л,polskoe testo dlya pirogov
Сахар,3 столовые ложки,polskoe testo dlya pirogov
Сухие дрожжи,6 г,polskoe testo dlya pirogov
Сливочное масло,150 г,polskoe testo dlya pirogov
Пшеничная мука,510 г,polskoe testo dlya pirogov
Сахар,70 г,polskoe testo dlya pirogov
Соль,2 чайные ложки,polskoe testo dlya pirogov
Яйцо куриное,5 штук,polskoe testo dlya pirogov
Молоко,120 мл,polskoe testo dlya pirogov
Сливочное масло,225 г,polskoe testo dlya pirogov
Молоко,800 мл,polskoe testo dlya pirogov
Яйцо куриное,4 штуки,polskoe testo dlya pirogov
Сахар,110 г,polskoe testo dlya pirogov
Соль,10 г,polskoe testo dlya pirogov
Пшеничная мука,400 г,polskoe testo dlya pirogov
Яйцо куриное,1 штука,tort tiramisu na tvoroge
Творог,400 г,tort tiramisu na tvoroge
Пшеничная мука,200 г,tort tiramisu na tvoroge
Сахар,1 стакан,tort tiramisu na tvoroge
Желатин,30 г,tort tiramisu na tvoroge
Какао,2 столовые ложки,tort tiramisu na tvoroge
Сметана,2 столовые ложки,tort tiramisu na tvoroge
Гашеная сода,1 чайная ложка,tort tiramisu na tvoroge
Сливочное масло,90 г,tort tiramisu na tvoroge
Яйцо куриное,5 штук,tort tiramisu na tvoroge
Сахар,2.5 стакана,tort tiramisu na tvoroge
Пшеничная мука,2 стакана,tort tiramisu na tvoroge
Сметана,2 банки,tort tiramisu na tvoroge
Какао,4 столовые ложки,tort tiramisu na tvoroge
Сливочное масло,100 г,tort tiramisu na tvoroge
Сахар,350 г,tort tiramisu na tvoroge
Пшеничная мука,400 г,tort tiramisu na tvoroge
Яйцо куриное,4 штуки,tort tiramisu na tvoroge
Сметана,200 г,tort tiramisu na tvoroge
Гашеная сода,½ чайной ложки,tort tiramisu na tvoroge
Сливочное масло,250 г,tort tiramisu na tvoroge
Сахар,200 г,tort tiramisu na tvoroge
Сметана,100 г,tort tiramisu na tvoroge
Творог,500 г,tort tiramisu na tvoroge
Ванилин,по вкусу,tort tiramisu na tvoroge
Яйцо куриное,6 штук,tort tiramisu na tvoroge
Сахар,3 столовые ложки,tort tiramisu na tvoroge
Пшеничная мука,1.5 стакана,tort tiramisu na tvoroge
Сливочное масло,300 г,tort tiramisu na tvoroge
Сметана,600 г,tort tiramisu na tvoroge
Какао,3 столовые ложки,tort tiramisu na tvoroge
Корица,½ чайной ложки,tort tiramisu na tvoroge
Морковь,160 г,tort tiramisu na tvoroge
Сахар,0.6 стакана,tort tiramisu na tvoroge
Яйцо куриное,2 штуки,tort tiramisu na tvoroge
Пшеничная мука,1 стакан,tort tiramisu na tvoroge
Растительное масло,1 чайная ложка,tort tiramisu na tvoroge
Творог,200 г,tort tiramisu na tvoroge
Сметана,190 г,tort tiramisu na tvoroge
Сливочное масло,50 г,tort tiramisu na tvoroge
Какао,1 столовая ложка,tort tiramisu na tvoroge
Пшеничная мука,300 г,tort tiramisu na tvoroge
Сливочное масло,125 г,tort tiramisu na tvoroge
Яйцо куриное,7 штук,tort tiramisu na tvoroge
Сахар,425 г,tort tiramisu na tvoroge
Фейхоа,7 штук,tort tiramisu na tvoroge
Апельсины,2 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Черный шоколад 70%,200 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,6 штук,vozdushnyy muss s apelsinom i gorkim shokoladom
Желатин в пластинах,3 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Апельсины,4 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,2 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Яичный желток,2 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Кусковой сахар,8 штук,vozdushnyy muss s apelsinom i gorkim shokoladom
Сахарная пудра,3 столовые ложки,vozdushnyy muss s apelsinom i gorkim shokoladom
Сахар,400 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Черный шоколад 70%,400 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Сливочное масло,400 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Пшеничная мука,200 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,8 штук,vozdushnyy muss s apelsinom i gorkim shokoladom
Сахар,200 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,3 штуки,vozdushnyy muss s apelsinom i gorkim shokoladom
Апельсины,1 штука,vozdushnyy muss s apelsinom i gorkim shokoladom
Молоко,500 мл,vozdushnyy muss s apelsinom i gorkim shokoladom
Желатин в пластинах,5 штук,vozdushnyy muss s apelsinom i gorkim shokoladom
Черный шоколад 70%,150 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Сахар,100 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,1 штука,vozdushnyy muss s apelsinom i gorkim shokoladom
Яйцо куриное,5 штук,vozdushnyy muss s apelsinom i gorkim shokoladom
Морская соль,щепотка,vozdushnyy muss s apelsinom i gorkim shokoladom
Черный шоколад 70%,250 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Темный шоколад,80 г,vozdushnyy muss s apelsinom i gorkim shokoladom
Тростниковый сахар,2 чайные ложки,vozdushnyy muss s apelsinom i gorkim shokoladom
Пшеничная мука,3 стакана,poristyy shokoladnyy tort s panna kottoy
Сахар,2 стакана,poristyy shokoladnyy tort s panna kottoy
Какао,½ стакана,poristyy shokoladnyy tort s panna kottoy
Вода,1.5 стакана,poristyy shokoladnyy tort s panna kottoy
Сода,2 чайные ложки,poristyy shokoladnyy tort s panna kottoy
Соль,½ чайной ложки,poristyy shokoladnyy tort s panna kottoy
Растительное масло,1 стакан,poristyy shokoladnyy tort s panna kottoy
Ванилин,по вкусу,poristyy shokoladnyy tort s panna kottoy
Винный уксус,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Уксус,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Сметана,250 г,poristyy shokoladnyy tort s panna kottoy
Лимонный сок,1 столовая ложка,poristyy shokoladnyy tort s panna kottoy
Сахарная пудра,1 стакан,poristyy shokoladnyy tort s panna kottoy
Желатин,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Молоко,5 столовых ложек,poristyy shokoladnyy tort s panna kottoy
Эспрессо,0.3 стакана,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,500 г,poristyy shokoladnyy tort s panna kottoy
Сахар,160 г,poristyy shokoladnyy tort s panna kottoy
Какао,100 г,poristyy shokoladnyy tort s panna kottoy
Ванильный сахар,10 г,poristyy shokoladnyy tort s panna kottoy
Разрыхлитель,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Сода,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Уксус,2 чайные ложки,poristyy shokoladnyy tort s panna kottoy
Растительное масло,100 мл,poristyy shokoladnyy tort s panna kottoy
Вода,430 мл,poristyy shokoladnyy tort s panna kottoy
Шоколад,200 г,poristyy shokoladnyy tort s panna kottoy
Молоко,3 столовые ложки,poristyy shokoladnyy tort s panna kottoy
Кондитерские украшения,по вкусу,poristyy shokoladnyy tort s panna kottoy
Какао,50 г,poristyy shokoladnyy tort s panna kottoy
Растительное масло,50 мл,poristyy shokoladnyy tort s panna kottoy
Уксус,2 столовые ложки,poristyy shokoladnyy tort s panna kottoy
Ванильный сахар,20 г,poristyy shokoladnyy tort s panna kottoy
Молоко,2 стакана,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,1.5 стакана,poristyy shokoladnyy tort s panna kottoy
Сахар,1 стакан,poristyy shokoladnyy tort s panna kottoy
Какао,⅓ стакана,poristyy shokoladnyy tort s panna kottoy
Яблочный уксус,1 столовая ложка,poristyy shokoladnyy tort s panna kottoy
Ванильный сахар,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Растительное масло,½ стакана,poristyy shokoladnyy tort s panna kottoy
Вода,1 стакан,poristyy shokoladnyy tort s panna kottoy
Темный шоколад,200 г,poristyy shokoladnyy tort s panna kottoy
Молотые фисташки,½ стакана,poristyy shokoladnyy tort s panna kottoy
Молоко,0.67 стакана,poristyy shokoladnyy tort s panna kottoy
Растительное масло,0.3 стакана,poristyy shokoladnyy tort s panna kottoy
Какао,0.3 стакана,poristyy shokoladnyy tort s panna kottoy
Ванильный экстракт,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,1.25 стакана,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,190 г,poristyy shokoladnyy tort s panna kottoy
Какао,3 столовые ложки,poristyy shokoladnyy tort s panna kottoy
Растительное масло,80 мл,poristyy shokoladnyy tort s panna kottoy
Вода,250 мл,poristyy shokoladnyy tort s panna kottoy
Уксус,½ столовой ложки,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,250 г,poristyy shokoladnyy tort s panna kottoy
Сода,1.5 чайные ложки,poristyy shokoladnyy tort s panna kottoy
Соль,1 чайная ложка,poristyy shokoladnyy tort s panna kottoy
Какао,55 г,poristyy shokoladnyy tort s panna kottoy
Сахар,250 г,poristyy shokoladnyy tort s panna kottoy
Яйцо куриное,2 штуки,poristyy shokoladnyy tort s panna kottoy
Сливочное масло,240 г,poristyy shokoladnyy tort s panna kottoy
Растительное масло,60 мл,poristyy shokoladnyy tort s panna kottoy
Молоко,280 мл,poristyy shokoladnyy tort s panna kottoy
Винный уксус,1 столовая ложка,poristyy shokoladnyy tort s panna kottoy
Сливочный сыр,500 г,poristyy shokoladnyy tort s panna kottoy
Сахарная пудра,200 г,poristyy shokoladnyy tort s panna kottoy
Замороженная вишня,500 г,poristyy shokoladnyy tort s panna kottoy
Кукурузный крахмал,1 столовая ложка,poristyy shokoladnyy tort s panna kottoy
Пшеничная мука,200 г,malinovij pirog s siropom
Сливки 10%-ные,200 мл,malinovij pirog s siropom
Сливки 35%-ные,50 мл,malinovij pirog s siropom
Малина,350 г,malinovij pirog s siropom
Сливочное масло,130 г,malinovij pirog s siropom
Яйцо куриное,2 штуки,malinovij pirog s siropom
Цедра апельсина,по вкусу,malinovij pirog s siropom
Апельсины,1 штука,malinovij pirog s siropom
Ванильный экстракт,по вкусу,malinovij pirog s siropom
Разрыхлитель,2 чайные ложки,malinovij pirog s siropom
Сливочное масло,150 г,malinovij pirog s siropom
Сахар,½ стакана,malinovij pirog s siropom
Пшеничная мука,250 г,malinovij pirog s siropom
Яйцо куриное,1 штука,malinovij pirog s siropom
Пшеничная мука,½ стакана,malinovij pirog s siropom
Сливочное масло,50 г,malinovij pirog s siropom
Разрыхлитель,½ чайной ложки,malinovij pirog s siropom
Сметана,400 г,malinovij pirog s siropom
Малина,200 г,malinovij pirog s siropom
Сахар,2 столовые ложки,malinovij pirog s siropom
Разрыхлитель,1 столовая ложка,malinovij pirog s siropom
Коричневый сахар,¾ стакана,malinovij pirog s siropom
Сливочное масло,125 г,malinovij pirog s siropom
Молоко,1 стакан,malinovij pirog s siropom
Пшеничная мука,3 стакана,malinovij pirog s siropom
Малина,180 г,malinovij pirog s siropom
Разрыхлитель,1 чайная ложка,malinovij pirog s siropom
Пшеничная мука,100 г,malinovij pirog s siropom
Апельсины,3 г,malinovij pirog s siropom
